Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Bahrain,BHR,2.32423200478769,2.34248754376515,2.37230234606539,2.42633387832394,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Bangladesh,BGD,5.1033559765625,5.13561350228916,5.14947500781286,5.15839063962068,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Barbados,BRB,14.6857607491834,15.041848031463,15.4109254031695,15.8026939621338,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Belarus,BLR,14.3228140109835,14.4157470274919,14.5751252006432,14.8451481743098,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Belgium,BEL,18.1423094027785,18.37185871229,18.5840790882601,18.7887437383395,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Belize,BLZ,4.41688623650373,4.51058631921824,4.61586772724733,4.73645877657144,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Benin,BEN,3.22771888525969,3.23552208996581,3.2439514718218,3.25360529746338,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Bermuda,BMU,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Bhutan,BTN,5.74314855827091,5.84261335563072,5.9249184844205,6.00301171280561,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Bolivia,BOL,6.75613837694221,6.90062395903339,7.04587882180194,7.19194739218447,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Bosnia and Herzegovina,BIH,14.4805694122024,15.07843742931,15.7497557082224,16.4703174710621,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Botswana,BWA,3.83658160734393,3.95707817903105,4.08683585176048,4.22387434629301,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Brazil,BRA,8.01304360016565,8.30168730572689,8.60549199443827,8.92283783244003,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,British Virgin Islands,VGB,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Brunei Darussalam,BRN,4.07392500006025,4.30061934254407,4.56778169636231,4.87314756750582,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Bulgaria,BGR,20.0188312329569,20.4293428662073,20.7576011862959,21.021914434268,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Burkina Faso,BFA,2.40787396392306,2.40973075866777,2.40863004119056,2.40698082866355,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Burundi,BDI,2.09585011067881,2.13529850080974,2.18676073257099,2.24694046033717,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Cabo Verde,CPV,4.51077956256682,4.49311488743208,4.5324819813283,4.60932715666821,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Cambodia,KHM,4.11918072528856,4.25764662991146,4.41083740193033,4.56868001756576,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Cameroon,CMR,2.72934138562838,2.73159303235974,2.73139707758745,2.72887735524057,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Canada,CAN,16.0536348121597,16.4550097979977,16.8424915594931,17.2320066788651,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Caribbean small states,CSS,8.27062522377309,8.43837407556018,8.61179883632361,8.79665874897365,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Cayman Islands,CYM,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Central African Republic,CAF,2.83100795206947,2.83307395002651,2.83160027702211,2.82577370666008,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Central Europe and the Baltics,CEB,16.9583038522485,17.4639603620579,17.9647358150899,18.4601184961471,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Chad,TCD,2.4447070454026,2.4538548489664,2.46671833784574,2.48051894434901,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Channel Islands,CHI,16.4712640203162,16.7190860456618,16.998191681736,17.2974621552033,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Chile,CHL,10.596397098994,10.8783711500226,11.1918942478844,11.5298016568816,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,China,CHN,9.3318301715167,9.80263113886186,10.3451204570585,10.9208835350654,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Colombia,COL,7.69469418432195,7.9362882680438,8.19908853104178,8.47804701986958,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Comoros,COM,2.89327316882422,2.92423754889441,2.96292382773144,3.00700930649436,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Congo, Dem. Rep.",COD,3.01772150411182,3.02043834043243,3.01976452615423,3.01784062159803,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Congo, Rep.",COG,2.56891597054835,2.60566360623458,2.64316301403234,2.68171953903232,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Costa Rica,CRI,8.68314808106928,8.96546375076668,9.25051020676152,9.54984767296984,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Cote d'Ivoire,CIV,2.80009470362772,2.82034616207037,2.84055591679499,2.85894301500285,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Croatia,HRV,19.2458835297247,19.6156823572293,20.0223913942074,20.445433012423,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Cuba,CUB,14.0465321139543,14.3884520159674,14.778079757275,15.1862114171521,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Curacao,CUW,15.3190238165245,15.7595062464297,16.214497799342,16.6848948092804,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Cyprus,CYP,12.8329823382731,13.1237998713026,13.4153557157123,13.7190617734483,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Czech Republic,CZE,17.9949774543864,18.5215508599466,18.9967065230691,19.4208768932343,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Denmark,DNK,19.04744409746,19.4224516834814,19.6594928993276,19.8129526369902,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Djibouti,DJI,4.31513151632452,4.38827611741103,4.45652415689456,4.52757937811482,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Dominica,DMA,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Dominican Republic,DOM,6.50972409178267,6.68918373712136,6.87998520703305,7.08281747649721,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Early-demographic dividend,EAR,5.40402652387068,5.53365966867386,5.6719923472324,5.8178056840413,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,East Asia & Pacific,EAS,9.50448486605439,9.87989123906165,10.3004805424354,10.7443580041224,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,East Asia & Pacific (excluding high income),EAP,8.26428057912316,8.63088408527088,9.05021424211851,9.49623787364322,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,East Asia & Pacific (IDA & IBRD),TEA,8.2460665751688,8.61793052708437,9.04446843783323,9.49824756454622,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Ecuador,ECU,6.60245299475328,6.7638054331799,6.9511403418729,7.15728972666108,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Egypt, Arab Rep.",EGY,5.10221229624926,5.14659993751209,5.18793195840207,5.22977934620923,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,El Salvador,SLV,7.75638548746238,7.92645791638105,8.10470864225283,8.28709000480629,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Equatorial Guinea,GNQ,2.53549643666436,2.50835267203213,2.48375200673216,2.45787734677897,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Eritrea,ERI,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Estonia,EST,18.8220401801836,19.0581157758012,19.3131674485937,19.6263568469749,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Eswatini,SWZ,3.95138237244168,3.98843084855704,4.0078947017483,4.01458794083506,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Ethiopia,ETH,3.45340921642861,3.47297853811101,3.4878304988263,3.50113299760986,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Euro area,EMU,19.8337791564736,20.0997189195406,20.3528655867071,20.6002875939103,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Europe & Central Asia,ECS,15.5847112940316,15.8355698256051,16.0891940672734,16.3488906043948,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Europe & Central Asia (excluding high income),ECA,11.3206655040001,11.5309755651429,11.7768459436904,12.0469773953365,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Europe & Central Asia (IDA & IBRD),TEC,11.7658143387398,12.007645351349,12.2807025441438,12.5755989186922,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,European Union,EUU,19.0798891336571,19.3831258557497,19.6648299427273,19.9345216836279,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Faroe Islands,FRO,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Fiji,FJI,4.97279039219366,5.13778672373536,5.29209911802147,5.44968041263952,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Finland,FIN,20.244376972452,20.7909543477442,21.2787526007594,21.7207875455222,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Fragile and conflict affected situations,FCS,3.31255594358871,3.35545344825373,3.40233610415024,3.45084801162229,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,France,FRA,18.8811152898537,19.2841249271119,19.6689967687709,20.0346247469881,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,French Polynesia,PYF,7.24835605805422,7.55640535372849,7.90939580300034,8.29050810468202,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Gabon,GAB,3.62661127101596,3.60585554962889,3.58461718026194,3.56390746835592,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Gambia, The",GMB,2.65362967792661,2.6390605340937,2.61688819990524,2.58998093938232,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Georgia,GEO,14.3489249867613,14.4981010845609,14.6735263860049,14.8654914310525,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Germany,DEU,21.2185907192979,21.288710112426,21.3714880478767,21.4619619953309,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Ghana,GHA,3.00379131109847,3.03069541072423,3.04980535834993,3.06889800693396,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Gibraltar,GIB,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Greece,GRC,20.8210042449401,21.1299567553462,21.3993537979744,21.6552720778435,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Greenland,GRL,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Grenada,GRD,9.58494146844406,9.60357696737741,9.60369428360121,9.62190679562869,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Guam,GUM,8.86545198420789,9.18619707764911,9.51296863301295,9.84991071859466,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Guatemala,GTM,4.50732010581311,4.59225417528087,4.69631929586632,4.81207250828785,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Guinea,GIN,2.8797276577997,2.88992675254926,2.90681953763653,2.92602244847935,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Guinea-Bissau,GNB,2.67142220651369,2.71785049465956,2.77155258472386,2.82371633615269,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Guyana,GUY,5.74278893765181,5.97289490878543,6.20712518478578,6.45027124309697,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Haiti,HTI,4.63761443786579,4.72968098620199,4.83543345759921,4.94940384843253,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Heavily indebted poor countries (HIPC),HPC,2.96652346925094,2.98846268922109,3.00873252856438,3.02840923793326,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,High income,HIC,16.9529720381283,17.2890451839313,17.6126414812699,17.9320439329727,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Honduras,HND,4.33125906131473,4.4405145405545,4.56082731034521,4.69061765907812,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Hong Kong SAR, China",HKG,15.1863847405426,15.7519898414339,16.3064671937536,16.8750483265122,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Hungary,HUN,17.4688019122261,18.0023428748664,18.5778610772262,19.1577253832321,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,IBRD only,IBD,7.61578180911063,7.8780561086191,8.17226203783955,8.48378013902042,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Iceland,ISL,13.714143827424,14.0677772225667,14.4255412045109,14.7950925565689,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,IDA & IBRD total,IBT,6.59069596063942,6.78375231049072,6.99877562352225,7.22482074084979,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,IDA blend,IDB,3.4413874967848,3.46100948025886,3.47932270930166,3.4988603827318,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,IDA only,IDX,3.50466790460306,3.53384597053647,3.56073260622329,3.58759259082614,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,IDA total,IDA,3.48321321679148,3.50914110895705,3.53311462236658,3.55749115143391,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,India,IND,5.61463565853567,5.79330515007887,5.98311331737929,6.17995564947149,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Indonesia,IDN,5.38343514023989,5.52433626155731,5.68194834038824,5.85716561272863,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Iran, Islamic Rep.",IRN,5.80769188383842,5.91456896410762,6.03870523995975,6.18457380562499,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Iraq,IRQ,3.1036289765219,3.15092074892343,3.23133991061807,3.32359966279505,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Ireland,IRL,12.7910713230197,13.1475948932009,13.5066550900967,13.8658017012923,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Isle of Man,IMN,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Israel,ISR,11.2262846729143,11.4705601255891,11.725446660346,11.9769860249625,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Italy,ITA,21.9486456695341,22.2348608856856,22.4996889509015,22.7516796025077,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Jamaica,JAM,8.51073029217014,8.60067799036279,8.69333152563913,8.79664255070196,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Japan,JPN,26.0193322610369,26.5918165131425,27.1094794248515,27.576369910355,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Jordan,JOR,3.75562707904485,3.78148613093642,3.81025937162491,3.84649039799834,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Kazakhstan,KAZ,6.75881469718671,6.91842773396588,7.1368232522322,7.39184627103032,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Kenya,KEN,2.10104001943593,2.17634987725358,2.25610560588208,2.33918661191556,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Kiribati,KIR,3.55088794735419,3.69432298887349,3.82452390546436,3.95262717204589,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Korea, Dem. People's Rep.",PRK,9.72008113300307,9.66873079756667,9.51172884595156,9.33452040978796,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Korea, Rep.",KOR,12.8593609995362,13.3379401871474,13.8522477555421,14.4185558323969,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Kosovo,XKX,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Kuwait,KWT,2.11889119564625,2.24197125256674,2.38246157206715,2.55047238400198,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Kyrgyz Republic,KGZ,4.33521990911076,4.35853830792861,4.41280746681642,4.49472797559656,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Lao PDR,LAO,3.83632559599499,3.9121680505229,3.99155189064919,4.0751499644481,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Late-demographic dividend,LTE,9.42480680999872,9.8136488684426,10.2545868036051,10.7232529863456,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Latin America & Caribbean,LCN,7.74042434914011,7.95785945313111,8.19161395736519,8.43830607177221,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Latin America & Caribbean (excluding high income),LAC,7.55543786066445,7.76927291109717,7.99929847005197,8.24270282039559,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Latin America & Caribbean (IDA & IBRD),TLA,7.56817429674694,7.7821875087807,8.01236506567902,8.25620923692216,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Latvia,LVA,19.5186001319535,19.6798708988556,19.833304033577,20.0436203206809,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Least developed countries: UN classification,LDC,3.47330716892536,3.49807242527486,3.51955291131131,3.5402491059174,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Lebanon,LBN,6.32731323968516,6.51996840763739,6.74623605425308,7.00236813439294,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Lesotho,LSO,4.80145661457557,4.83911075984444,4.87264371509141,4.90108749682213,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Liberia,LBR,3.1763348486102,3.19646410439377,3.22270771332556,3.25343179968014,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Libya,LBY,4.23868258257814,4.27654146646371,4.32917411518854,4.39204025898401,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Liechtenstein,LIE,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Lithuania,LTU,18.6855532968607,18.9684439517892,19.3009523394487,19.7050331564608,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Low & middle income,LMY,6.53219650499128,6.72220996683338,6.9339509158117,7.15665123057303,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Low income,LIC,3.26576858760784,3.27779011829197,3.28480962966545,3.29117165297115,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Lower middle income,LMC,5.16004601388228,5.27550992243511,5.39909504904547,5.52941547318043,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Luxembourg,LUX,13.9942231107331,14.042301955585,14.1067054112956,14.1831541841472,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Macao SAR, China",MAC,8.59097967894899,9.16411568510988,9.79801954753166,10.4842029270023,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Madagascar,MDG,2.83405342094986,2.8782491784287,2.93018379921372,2.98671712579162,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Malawi,MWI,2.63602874191049,2.64748090714811,2.64901419316458,2.64543493031032,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Malaysia,MYS,5.97557487601484,6.20310400110752,6.4339520211868,6.67175462547886,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Maldives,MDV,3.93897761120209,3.85878800114403,3.77838928932599,3.70334460612454,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Mali,MLI,2.53096289200998,2.52190274406259,2.51491565396871,2.50722975755683,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Malta,MLT,18.7912141138807,19.3791748166119,19.887288694846,20.3493242997122,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Marshall Islands,MHL,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Mauritania,MRT,3.11620415782217,3.1231168337083,3.13071356685355,3.14111215805009,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Mauritius,MUS,9.95405953046395,10.4430347144901,10.951689167014,11.4741730686522,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Mexico,MEX,6.7247161862432,6.8733203249054,7.04077048486791,7.22368498087198,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Micronesia, Fed. Sts.",FSM,3.44184765140732,3.62110420541669,3.80678096878673,3.99680397727273,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Middle East & North Africa,MEA,4.87105278669736,4.95934321565203,5.06422771091005,5.18216135597133,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Middle East & North Africa (excluding high income),MNA,5.06544806372953,5.15292231693663,5.25739262773915,5.37543637508798,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Middle East & North Africa (IDA & IBRD),TMN,5.08977319993849,5.17795647069069,5.28329250549684,5.40251473043988,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Middle income,MIC,6.92068872412206,7.13767569283728,7.3805538406212,7.63701466475014,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Moldova,MDA,10.0489596383914,10.4160123600317,10.909198844048,11.4695563413512,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Monaco,MCO,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Mongolia,MNG,3.86434408036982,3.92083534552822,3.99381974226874,4.08353878726245,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Montenegro,MNE,13.7829448956546,14.1418924089379,14.547702780438,14.9749366447439,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Morocco,MAR,6.37665969114636,6.53805300150887,6.7533480761148,7.0129048211122,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Mozambique,MOZ,2.89994061830185,2.90146891451932,2.89833319941368,2.8907644574499,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Myanmar,MMR,5.16851457210366,5.35298376944599,5.56105787656383,5.78464193257209,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Namibia,NAM,3.74132145436701,3.70446861890618,3.66889158685492,3.63603168074514,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Nauru,NRU,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Nepal,NPL,5.54055629253211,5.60040256118883,5.6646874040199,5.72767077569198,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Netherlands,NLD,17.9201887959494,18.371661289672,18.7921320210439,19.1961926333387,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,New Caledonia,NCL,8.43745964989947,8.68956311476307,8.93162547357027,9.17415792537671,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,New Zealand,NZL,14.6471624858165,14.9998551273645,15.3294510418257,15.6524245271741,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Nicaragua,NIC,4.75029084528316,4.88383993969518,5.05229100279004,5.24749744838026,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Niger,NER,2.57546085043029,2.58428601788329,2.59076059297535,2.59500788269853,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Nigeria,NGA,2.73554809053068,2.74600472259014,2.74913596585596,2.74737700532743,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,North America,NAC,14.7841906610996,15.1765692689669,15.5631403121045,15.9525773634698,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,North Macedonia,MKD,12.5201988334693,12.8589162621237,13.2498333330131,13.6701813815648,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Northern Mariana Islands,MNP,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Norway,NOR,16.3030334033612,16.5942194449041,16.8349720164506,17.0492221563211,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,OECD members,OED,16.2100181173939,16.5222672722628,16.8221455638539,17.1186184107216,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Oman,OMN,2.27947193432549,2.30645119160282,2.34472113585979,2.39278695625796,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Other small states,OSS,5.30584979885923,5.36081286939055,5.42179769676887,5.49246578300642,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Pacific island small states,PSS,4.29726441452658,4.3795834576522,4.45736964650662,4.53731737663538,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Pakistan,PAK,4.30997836380842,4.31549556123609,4.31383605287132,4.31277431133756,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Palau,PLW,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Panama,PAN,7.5572882058074,7.72794085226988,7.90991653048905,8.10473107966757,..
